crossover_method,run,generation,best_fitness,avg_fitness,diversity,fitness_delta,normalized_fitness,inv_best_fitness,inv_avg_fitness
one_point,0,0,0.18526219236850738,0.19801927312612533,0.009058487830077639,0.0,0.0,5.397726268318307,5.049987984629577
one_point,0,1,0.17910118138790132,0.1879461672385534,0.003965627947994438,0.006161010980606063,0.0332556303142042,5.583404915846278,5.3206441719376505
one_point,0,2,0.1672979860305786,0.18164476619561515,0.005294239765021958,0.011803195357322716,0.09696639183776878,5.977322539284379,5.505220523131244
one_point,0,3,0.16248424112796783,0.17492460823059075,0.00775345112912335,0.004813744902610773,0.12294980939894973,6.154405120477583,5.716715866334323
one_point,0,4,0.16047898721694948,0.16527106573581696,0.0034211665046683442,0.0020052539110183565,0.1337736795333897,6.231306578110087,6.050629279351258
one_point,0,5,0.15401618492603303,0.16159117928743363,0.002909969727449632,0.006462802290916447,0.16865830552367922,6.492781961183431,6.188418303470247
one_point,0,6,0.1530267263650894,0.15995227885246274,0.0037475661362001826,0.0009894585609436235,0.17399916081797195,6.5347634951735944,6.251825577907517
one_point,0,7,0.1519459878206253,0.15581627091566722,0.00297170334707925,0.0010807385444641104,0.1798327231365826,6.581242671164422,6.417773807251629
one_point,0,8,0.14751135456562042,0.15216239992777508,0.0017488261708664826,0.004434633255004872,0.20376978875320817,6.779093201682663,6.571882597751191
one_point,0,9,0.14740666544437409,0.15066983991066618,0.001826362446167265,0.00010468912124633745,0.20433487502314762,6.783907722745674,6.63698430693628
one_point,0,10,0.1441046334505081,0.14892180287043255,0.0021060444258848986,0.0033020319938659726,0.22215843606196917,6.939353972885742,6.714888389993781
one_point,0,11,0.14164630323648453,0.14671304488976797,0.001753181273607263,0.002458330214023585,0.23542790125934565,7.059788482739196,6.815980029392137
one_point,0,12,0.13501201820373535,0.14399272854129475,0.0033598749309410696,0.006634285032749182,0.2712381491460426,7.406693171550279,6.944746900648652
one_point,0,13,0.13501201820373535,0.1401923876285553,0.0023197958124643336,0.0,0.2712381491460426,7.406693171550279,7.133004037604945
one_point,0,14,0.13295552390813828,0.13837277514537175,0.0028562674101322173,0.0020564942955970666,0.2823386023432415,7.521255599995345,7.226802903580733
one_point,0,15,0.1296832056045532,0.13486559121608732,0.001922460375175408,0.00327231830358507,0.30000177614977863,7.7110392536875745,7.414734746263215
one_point,0,16,0.1292861025929451,0.1323392697294553,0.0018090769715622228,0.0003971030116081131,0.302145241076601,7.7347235721451435,7.556278992360459
one_point,0,17,0.1272433352470398,0.12995917214155198,0.002258888149984388,0.0020427673459053053,0.31317159955692175,7.858896021253441,7.694665092554701
one_point,0,18,0.123864965736866,0.12724989319046337,0.0018512851070625295,0.0033783695101737843,0.3314072118369158,8.07324267042284,7.858491008807658
one_point,0,19,0.12157838010787964,0.1254612111091614,0.0021736120846915356,0.0022865856289863706,0.34374964177231293,8.225078949347179,7.970527469262646
one_point,0,20,0.11334310394525528,0.1228595500290394,0.002551264877995047,0.008235276162624358,0.3882016481819287,8.822690948997186,8.139309157932626
one_point,0,21,0.11292851060628892,0.11998797810276349,0.004077860008850907,0.00041459333896635975,0.3904395216177655,8.855081321359336,8.334098813172314
one_point,0,22,0.11005187326669694,0.11390475266774494,0.0018697439524121518,0.002876637339591981,0.40596690636267896,9.086541498799829,8.779187851178417
one_point,0,23,0.1043901128768921,0.11247110866308213,0.0026801319932250986,0.005661760389804843,0.4365277041024733,9.579359510989168,8.891093195341151
one_point,0,24,0.10041516095399856,0.10920702964266141,0.0036585842446684763,0.00397495192289353,0.4579835223246118,9.958556376777915,9.156835841394546
one_point,0,25,0.10041516095399856,0.10630500410000482,0.00400352242732341,0.0,0.4579835223246118,9.958556376777915,9.406806402574158
one_point,0,26,0.09858024019002914,0.10230562362670897,0.002681257450977551,0.0018349207639694193,0.4678879757941009,10.143917829318843,9.774538192646718
one_point,0,27,0.09504904794692993,0.10000143121679624,0.001734076109133095,0.00353119224309921,0.48694848780658573,10.520773230523124,9.999756884231047
one_point,0,28,0.09456215524673461,0.0986313599407673,0.002260316868866726,0.00048689270019532105,0.4895766155101964,10.574943247090216,10.138660380837894
one_point,0,29,0.09328189831972122,0.09669762141704559,0.003177448474928161,0.0012802569270133901,0.4964871292563946,10.720078578310929,10.341409064015101
one_point,0,30,0.09252421921491623,0.09494425992767015,0.002876323442156796,0.0007576791048049952,0.5005768957387964,10.807864152985303,10.532384668405834
one_point,0,31,0.09153233987092972,0.09383452951510746,0.001844164760759467,0.000991879343986507,0.5059308178278406,10.924981011400767,10.656944178473472
one_point,0,32,0.0889217598438263,0.09262944842378297,0.0017899171155683622,0.002610580027103418,0.5200220902765152,11.245714840118378,10.795586300360053
one_point,0,33,0.08796605175733566,0.0917025312503179,0.0027750682128604397,0.0009557080864906475,0.5251807687649444,11.367892637331785,10.904705482609574
one_point,0,34,0.08559088641405106,0.08952991523742675,0.002985093680584404,0.0023751653432845937,0.5380013303318729,11.68335039564961,11.169326230476962
one_point,0,35,0.08453726971149444,0.08708964625398319,0.0032278614074870283,0.0010536167025566173,0.5436884955817629,11.828962237016695,11.482289350382032
one_point,0,36,0.08246951824426652,0.08584336019953094,0.001835172491581532,0.0020677514672279296,0.5548497122379652,12.125545240762708,11.648988910578007
one_point,0,37,0.08113636139035225,0.08460732061962287,0.001845067692923384,0.0013331568539142608,0.5620457668504597,12.324778411131648,11.819168524757055
one_point,0,38,0.07918409502506256,0.08266143531004588,0.002117594112840139,0.0019522663652896954,0.5725836231736021,12.628639262016343,12.09739340789142
one_point,0,39,0.07881817153096199,0.08134408522546292,0.001944955334050936,0.0003659234941005701,0.5745587886913064,12.687268599457138,12.293305701608343
one_point,0,40,0.07284472048282624,0.0794963306874037,0.0018479143009491102,0.00597345104813575,0.6068020163664593,13.727642384095237,12.57903870926385
one_point,0,41,0.07275855186581612,0.07792443050344786,0.0024318548742322016,8.616861701012113e-05,0.6072671334845743,13.743899932811706,12.832781205562341
one_point,0,42,0.07015654349327087,0.07516824013590813,0.004053964651195013,0.0026020083725452475,0.6213121382385371,14.253634751278236,13.303313937881658
one_point,0,43,0.06940984931588173,0.07213381203909715,0.0018336053023051185,0.0007466941773891372,0.6253426107696183,14.40696965756897,13.862932081364526
