selection_method,run,generation,best_fitness,avg_fitness,diversity,fitness_delta,normalized_fitness,inv_best_fitness,inv_avg_fitness
roulette,1,2,0.1924989554979451,0.21470606209964285,0.014601936947837055,0.0007180066007083652,0.07212748268735625,5.194806395737971,4.657508654912863
roulette,1,3,0.1863627519686414,0.2049546738369642,0.007872359712419164,0.006136203529303691,0.10170486195546624,5.365850329994781,4.879103765604794
roulette,1,4,0.1863627519686414,0.20215897828584797,0.007590572956973061,0.0,0.10170486195546624,5.365850329994781,4.946577500053106
roulette,1,5,0.1863106652602125,0.1971152046191166,0.008395162838351542,5.2086708428905615e-05,0.10195592734511183,5.367350447989117,5.073149627308817
roulette,1,6,0.18565249419741908,0.19101506423324482,0.007275454018877488,0.0006581710627934223,0.1051284060698755,5.386378556046061,5.2351617860732675
roulette,1,7,0.18289611425817107,0.18768641903895486,0.0033280150757528317,0.002756379939248016,0.11841455188965078,5.467554827510485,5.328007626299385
roulette,1,8,0.18289611425817107,0.18671966850451838,0.0024661256331919377,0.0,0.11841455188965078,5.467554827510485,5.355593507720338
roulette,1,9,0.17883019551267368,0.18428489986219782,0.002402193697322439,0.004065918745497388,0.13801286218600772,5.591865541877063,5.426351124789053
roulette,1,10,0.17618845388774812,0.1830538586619183,0.002589462832629629,0.0026417416249255588,0.15074643492290207,5.6757086076054755,5.462843255348318
roulette,1,11,0.17618845388774812,0.1814289591623806,0.0024112510048331097,0.0,0.15074643492290207,5.6757086076054755,5.5117688645070775
roulette,1,12,0.1751463084857573,0.18040107206763062,0.0025889540741054133,0.0010421454019908238,0.15576972491972152,5.709479686816417,5.543173581870566
roulette,1,13,0.17421947224985368,0.17816764011498787,0.0018774614454586196,0.0009268362359036164,0.16023720823213694,5.739853572236198,5.6126600020891
roulette,1,14,0.17362887048969902,0.17664390638174013,0.0020146174209748533,0.0005906017601546576,0.16308399324718514,5.759377676085562,5.6610746411161195
roulette,1,15,0.17222026530408935,0.17503350121640832,0.001617274009925455,0.0014086051856096737,0.1698736718513646,5.806483875462824,5.71315936601336
roulette,1,16,0.1712826483484015,0.17430169501707035,0.0013386559456528737,0.0009376169556878367,0.1743931197761528,5.838268916166115,5.737145945460367
roulette,1,17,0.17126978235161136,0.17340935472349076,0.0012397544592404057,1.2865996790151213e-05,0.17445513572215376,5.8387074915501005,5.766668326090083
roulette,1,18,0.17094797261792524,0.1726572282846033,0.0010128288445172455,0.0003218097336861181,0.176006304698207,5.8496988000917804,5.791788841662604
roulette,1,19,0.1704521985287689,0.17188992781740142,0.0008364569469304853,0.0004957740891563533,0.17839600676663614,5.866713025225051,5.817642691778901
roulette,2,0,0.21253882798975302,0.23810437956462221,0.0153692646656132,0.0,0.0,4.705000514295194,4.199821112099646
roulette,2,1,0.21127622649267386,0.22843309914634605,0.013400648053388656,0.0012626014970791577,0.0059405686434858,4.733117793150676,4.37763015126455
roulette,2,2,0.20182746143443514,0.22157998861990047,0.009067166238194157,0.009448765058238717,0.05039722227053167,4.9547025870028465,4.513022557704162
roulette,2,3,0.1995861624447128,0.2178994937911242,0.009046281109318438,0.0022412989897223345,0.06094258478580061,5.010342287305216,4.589250729090057
roulette,2,4,0.19906288969935587,0.21104910629760898,0.0074603125359535526,0.0005232727453569341,0.06340459490558048,5.023512810436336,4.738211306986341
roulette,2,5,0.19906288969935587,0.20679514856539957,0.006539590059148476,0.0,0.06340459490558048,5.023512810436336,4.835680001476181
roulette,2,6,0.19573444736934953,0.20232282002872687,0.004899577164509792,0.0033284423300063426,0.07906499146223611,5.108936646069103,4.94257176371035
