mutation_strategy,run,generation,best_fitness,avg_fitness,diversity,fitness_delta,normalized_fitness,inv_best_fitness,inv_avg_fitness
single,2,35,0.08730954712629319,0.08991657367944716,0.0016329328017604101,0.0006672102212905845,0.4921306428325083,11.453369986944617,11.121296528362333
single,2,36,0.08609211966395378,0.0880477780133486,0.001021407760982955,0.00121742746233941,0.4992122750599898,11.615330050801827,11.357341039399723
single,2,37,0.08560312652587891,0.08723948637942473,0.0013270480269389241,0.0004889931380748641,0.5020566905777357,11.681679851002169,11.462567914291746
single,2,38,0.08361149856448173,0.08616349732180435,0.0011628363824354594,0.00199162796139718,0.5136417559659282,11.959934425698362,11.605708047773234
single,2,39,0.08305391669273376,0.08512069130241869,0.002144233309384821,0.0005575818717479669,0.5168851440728814,12.04022639261147,11.7478868746536
single,2,40,0.08251173093914986,0.0847778253227472,0.004273267464070716,0.0005421857535839042,0.5200389747729733,12.119341932064565,11.795398157418061
single,2,41,0.08195791694521903,0.08337891229192418,0.0014007207882136897,0.0005538139939308268,0.5232604455782355,12.201234926864583,11.993296376936291
single,2,42,0.0815789910852909,0.08299732038776078,0.00283861234243607,0.0003789258599281309,0.5254646126966087,12.257907689086554,12.048436586765717
single,2,43,0.08070079830288887,0.08256186656554541,0.0018432118061485207,0.0008781927824020319,0.5305729567271018,12.391297604630989,12.111982560660186
single,2,44,0.08035673141479492,0.08204761721690494,0.0013725283298520509,0.0003440668880939496,0.532574353310068,12.444353298603534,12.187895834446364
single,2,45,0.07974129340052605,0.08091639937659104,0.0007224760190972182,0.0006154380142688737,0.5361542837869843,12.540396787652499,12.35828150316574
single,3,0,0.16551167666912078,0.18981973255872725,0.01416594325703298,0.0,0.0,6.0418332911086745,5.268128441610651
single,3,1,0.16343732464313507,0.1754173614501953,0.008096202980482746,0.002074352025985715,0.01253296485016353,6.118515973432081,5.700657512320451
single,3,2,0.1591395181417465,0.16529914024273556,0.002693563985711068,0.004297806501388557,0.0384997521359961,6.283754833004249,6.04960164299647
single,3,3,0.1573033913373947,0.16343857891956964,0.003517599303451411,0.0018361268043518009,0.04959339121514361,6.3571016136170515,6.118469018401661
single,3,4,0.15279943227767945,0.15919287442763644,0.003230121630084546,0.004503959059715262,0.07680572541630859,6.544484103178002,6.281648735514396
single,3,5,0.14899923002719878,0.15550686248540876,0.0024532913085715848,0.0038002022504806665,0.09976605260867799,6.711399034870336,6.430543022182107
single,3,6,0.1483707962036133,0.15228099157412844,0.0024741971167340274,0.0006284338235854892,0.10356296794560493,6.739825395304118,6.566764655906249
single,3,7,0.14404492819309234,0.14952708301146828,0.0025021310346759356,0.004325868010520956,0.12969929921586887,6.9422302493653865,6.687706950160683
single,3,8,0.1359302237033844,0.14517911024689675,0.003455720002291752,0.008114704489707941,0.17872728716822517,7.356661499510227,6.887995871468731
single,3,9,0.1333410086631775,0.14011711588899298,0.00384461781727077,0.002589215040206899,0.19437098731261482,7.499512044445082,7.136835902020256
single,3,10,0.1284184065461159,0.13551996227502824,0.0029384322243274775,0.0049226021170616086,0.22411270835688002,7.786985058530824,7.378932256772094
single,3,11,0.11994884794950486,0.13254528332153956,0.003342050967964975,0.008469558596611027,0.27528467861939376,8.336817570798162,7.54453444442598
single,3,12,0.118822179377079,0.1272839819510778,0.00521890349377771,0.001126668572425854,0.28209186343619796,8.41586637592446,7.856386391163977
single,3,13,0.11659211677312852,0.12239286260406176,0.004846072362295142,0.0022300626039504917,0.29556561132414116,8.576835645845538,8.170344318938211
single,3,14,0.11439660781621933,0.1188009854475657,0.0022300472952527265,0.0021955089569091896,0.3088305905757156,8.741441530897289,8.41736774206824
single,3,15,0.11390461212396621,0.1171160502990087,0.0019658169833075296,0.000491995692253111,0.31180316448804846,8.779198683482566,8.538466409860257
single,3,16,0.11218099546432495,0.11550820807814599,0.0034385959302666554,0.0017236166596412694,0.3222170319222296,8.914086399167418,8.657318465238419
single,3,17,0.10907204365730286,0.11389300075570744,0.002913790406246709,0.0031089518070220867,0.3410009139394319,9.168168105236937,8.780093713143957
single,3,18,0.1025923063158989,0.1113628192047278,0.0028089963894492214,0.00647973734140396,0.38015064326250425,9.747224608600316,8.979577093720456
single,3,19,0.10219567149877548,0.10788895648519199,0.0029681821471278396,0.0003966348171234174,0.38254705918375886,9.785054496730668,9.268703339752028
single,3,20,0.10075818991661072,0.10527039057016373,0.0033432409636839715,0.0014374815821647652,0.3912321357360221,9.924653034900436,9.499257059148437
single,3,21,0.09432204800844193,0.10280653945803642,0.0033167361630803294,0.006436141908168783,0.43011846712782753,10.601862653023042,9.726913077305737
single,3,22,0.09177656692266464,0.09980243398348493,0.003353417478747009,0.0025454810857772903,0.44549793241392965,10.895908810075985,10.019695315949509
single,3,23,0.09172936016321183,0.09583857739567757,0.004798380284993513,4.720675945281416e-05,0.44578314950799114,10.901516119861991,10.434102770210052
single,3,24,0.09090795022249222,0.09298934735854467,0.002350094548394266,0.0008214099407196085,0.4507460014182023,11.000017023104785,10.753804329220117
single,3,25,0.08969196337461471,0.09192266616622607,0.0014320190333275845,0.0012159868478775065,0.45809283562560643,11.149146626178084,10.878591354175262
single,3,26,0.08882291024923325,0.09101403502225876,0.0017002024501368241,0.0008690531253814637,0.46334354145416745,11.258229875199985,10.987195684267315
single,3,27,0.08730307269096374,0.09016467291116713,0.0026131211017773916,0.00151983755826951,0.47252620209090224,11.454219364310404,11.090695247017324
single,3,28,0.0860013592839241,0.08927897662520408,0.003059354100494862,0.0013017134070396341,0.48039098500674404,11.627587990913685,11.200719778388654
single,3,29,0.08518977051973343,0.08700967925190925,0.0010209308292103776,0.000811588764190671,0.48529449864713303,11.738360786023902,11.492842126939921
single,3,30,0.08099342584609985,0.08667708733677865,0.0034568949001662114,0.004196344673633584,0.5106482667804992,12.346528659887442,11.536941235385186
single,3,31,0.08013412454724311,0.0850217886110147,0.005253074906658992,0.0008593012988567378,0.5158400533429337,12.47892239077331,11.761552594741053
single,3,32,0.07784727001190186,0.08255631013413271,0.0038962105862342844,0.0022868545353412484,0.5296569306857508,12.845500610959173,12.112797744685208
single,3,33,0.0775610400736332,0.08034810478190584,0.0034356738321139877,0.00028622993826867005,0.5313862947042236,12.892904815946746,12.445689379045756
single,3,34,0.07638318574428558,0.07851901865402856,0.0021880832551414192,0.0011778543293476107,0.5385027371997118,13.091715127366026,12.735605736495756
single,3,35,0.07306467047333717,0.077329012187322,0.0015160606855892163,0.0033185152709484106,0.5585527743797625,13.686317986569573,12.931589840922678
single,3,36,0.07265545079112053,0.0763779427409172,0.0025587854416161153,0.0004092196822166466,0.5610252264172989,13.763402823995524,13.092613803153455
single,3,37,0.07153714513778686,0.0740627212623755,0.0016576878018191787,0.001118305653333665,0.5677818835658414,13.978556448087081,13.501887063673667
single,3,38,0.07073961520195007,0.07338021443982919,0.0024007292182573314,0.0007975299358367882,0.5726004555958448,14.136150740917412,13.627465934349937
single,3,39,0.06974593046307564,0.07209982045392196,0.001847979957584789,0.0009936847388744285,0.5786041694054809,14.337548525227282,13.86946769404764
single,3,40,0.06926865628361702,0.07143045558929444,0.0028155788994846296,0.00047727417945862827,0.5814877978543229,14.436335527718075,13.999434727323012
single,3,41,0.06697912052273751,0.0698795462012291,0.001307818652129893,0.0022895357608795075,0.5953208748127334,14.929802935492381,14.310134284302594
single,3,42,0.06590243622660637,0.06898122228085996,0.0024416419925648606,0.0010766842961311418,0.6018260611403639,15.173715624805046,14.496488615987419
single,3,43,0.06446361592411995,0.06808936348656812,0.002396677133865456,0.0014388203024864182,0.6105192260665027,15.512385913802397,14.686366011208994
single,3,44,0.06359544369578361,0.06714115645686786,0.0034146302362637326,0.0008681722283363363,0.6157646096298142,15.72414968333047,14.893772448944208
single,3,45,0.06292288509011269,0.06512306930224102,0.001828483759862843,0.0006725586056709199,0.6198281211548375,15.892216422554164,15.355305814183643
single,3,46,0.06219215536117554,0.06430868336856364,0.0023986697540782846,0.0007307297289371531,0.624243095032469,16.078939783528913,15.549757791045629
single,3,47,0.06219215536117554,0.06371010398566722,0.001905385417250012,0.0,0.624243095032469,16.078939783528913,15.695851075268845
single,3,48,0.061816526055335996,0.06298714103897414,0.001435236938003705,0.0003756293058395435,0.6265125983895673,16.176642188897198,15.876004332009837
single,3,49,0.06088464316725731,0.06259645434717338,0.0012007788982348782,0.0009318828880786889,0.6321429134636007,16.42423316861295,15.975090527705389
single,3,50,0.06033159774541855,0.061978366147478425,0.0012707636201269431,0.0005530454218387604,0.6354843418931149,16.574787716246423,16.134401852715367
single,3,51,0.05933753383159637,0.06186545997560025,0.0027449808552807036,0.000994063913822174,0.6414903466284148,16.85245548597501,16.163847105433117
single,3,52,0.05905256494879722,0.06087439159154892,0.001176470233664373,0.0002849688827991498,0.6432120915139363,16.933778695105985,16.42699905258311
single,3,53,0.05869554635882378,0.06027970107595126,0.0014743222103412242,0.0003570185899734457,0.6453691513489785,17.036777494314556,16.58905722977641
single,3,54,0.05869554635882378,0.05964914081295332,0.0008252933576842187,0.0,0.6453691513489785,17.036777494314556,16.764419771207734
single,4,0,0.18498599195480347,0.20123662938674292,0.011673346292705071,0.0,0.0,5.405785506498331,4.969249553611953
single,4,1,0.1696552428007126,0.1882614781141281,0.006741151752911334,0.015330749154090884,0.0828751895864448,5.8942717550019905,5.3117329061916525
single,4,2,0.16456506443023683,0.18085247693459194,0.006114942062861334,0.005090178370475762,0.11039175079568175,6.0765869528582055,5.529337986472128
single,4,3,0.16362992775440216,0.17110104840596518,0.005535220800126918,0.0009351366758346691,0.11544692641169885,6.111314124557953,5.844465389609776
single,4,4,0.1586962389945984,0.16496347053050994,0.0028418522283058735,0.004933688759803767,0.1421175337786026,6.301306855338782,6.061911372697986
single,4,5,0.15358347284793855,0.16092045369545618,0.00312586753984182,0.005112766146659842,0.16975620032103467,6.5110748596968095,6.214211822200537
single,4,6,0.14934352588653566,0.15715975072383878,0.0033524649966281098,0.004239946961402896,0.19267656805589972,6.695926710830693,6.3629118300483904
single,4,7,0.14771395015716554,0.1523260686238607,0.002492150296793916,0.001629575729370114,0.20148575253603196,6.76979546712111,6.564821400648675
single,4,8,0.14610056734085083,0.1489782993912697,0.0017386788464591955,0.0016133828163147068,0.21020740112826097,6.844553540394458,6.712341943384121
single,4,9,0.14428875529766083,0.1473899814168612,0.0014923355581462718,0.001811812043190003,0.22000172135783103,6.93049896672887,6.78467563203024
single,4,10,0.14253653979301453,0.14574696613550187,0.0014516621035289411,0.0017522155046462984,0.22947387374153372,7.015695664820279,6.861159208700725
single,4,11,0.1397715168595314,0.1438924695809682,0.004323465695531169,0.00276502293348313,0.24442107544185865,7.154482315038943,6.94958571026258
single,4,12,0.13652934217453003,0.14135263938903808,0.0018009483444029275,0.0032421746850013755,0.26194767110859163,7.324379211777525,7.074455276300085
single,4,13,0.13579318207502367,0.13983624304731687,0.0026812067315201706,0.0007361600995063611,0.2659272162175328,7.364085741519613,7.151170733976992
single,4,14,0.12856247681379318,0.13734740779598553,0.003104835690200359,0.007230705261230486,0.3050150692210031,7.778258839782039,7.2807542223960775
single,4,15,0.12759863352775574,0.13456629746754964,0.003189989103893004,0.0009638432860374357,0.31022542745327897,7.837013103822731,7.431226002299303
single,4,16,0.12577759313583375,0.12978119136691094,0.003085725865524892,0.0018210403919219909,0.3200696344263503,7.950478496130551,7.705217406700057
single,4,17,0.11907941913604736,0.12611175798376403,0.0017572304384669858,0.006698173999786394,0.35627872209296085,8.397686263242969,7.929411869088944
single,4,18,0.11857297319173812,0.12456048827568691,0.003314781277520004,0.0005064459443092362,0.35901647503823775,8.433553950182358,8.028163550733597
single,4,19,0.11432068753242493,0.12238325825134913,0.006304903877124246,0.004252285659313196,0.38200354348800514,8.747246664954725,8.170985503268156
single,4,20,0.11182512599229813,0.11754091047445935,0.0026308854217913227,0.0024955615401267978,0.39549408681918086,8.94245411013231,8.507603764167929
