generation,best_fitness,avg_fitness,diversity,inv_best_fitness,normalized_fitness,label,run
0,0.16699361407756805,0.18815905829668048,0.01302732310618407,5.988217078279576,0.0,tournament_size7_6,0
1,0.16093612062931062,0.17101672883629798,0.006737507700769846,6.213606880064159,0.03627380293382798,tournament_size7_6,0
2,0.1543731416463852,0.16336553868055342,0.0039852357125150775,6.477768811117571,0.07557458110536308,tournament_size7_6,0
3,0.1421943467259407,0.1575370240017772,0.004615835376567244,7.032578934719599,0.14850428555973505,tournament_size7_6,0
4,0.1406373730301857,0.15071587859243155,0.005495505955579167,7.110434929344401,0.1578278378665423,tournament_size7_6,0
5,0.13240964716672898,0.14163586876392364,0.0032544108213790166,7.552262762833709,0.20709754143517678,tournament_size7_6,0
6,0.12799373960494995,0.13810474191606045,0.004900575624423018,7.812821082229281,0.23354111286257195,tournament_size7_6,0
7,0.12365490674972535,0.13232210866063834,0.0041050358978764676,8.08695699449247,0.2595231414520558,tournament_size7_6,0
8,0.11912228059768677,0.12770183939337731,0.003649757569084174,8.394664711907026,0.28666565332040295,tournament_size7_6,0
9,0.11662432342767716,0.12386863015890122,0.003993229447844359,8.574467110653972,0.30162405268080794,tournament_size7_6,0
10,0.1112397050857544,0.11939105616807937,0.0036739951491574214,8.989515117052786,0.33386850928273293,tournament_size7_6,0
11,0.10790980488061905,0.11625318746119737,0.0039047759843059155,9.266912623868322,0.3538087939668444,tournament_size7_6,0
12,0.10436603933572769,0.11107858674526216,0.0030314295372939424,9.581569108070623,0.37502975839992325,tournament_size7_6,0
13,0.10197374397516251,0.10829705236703158,0.003702601105887551,9.806349700113639,0.3893554281195687,tournament_size7_6,0
14,0.097983622610569,0.10575552197545768,0.004188869410241928,10.205683028187078,0.4132492841010321,tournament_size7_6,0
15,0.09610597163438797,0.10219329838603734,0.003454896308571378,10.40507242080439,0.4244931330742562,tournament_size7_6,0
16,0.0933452314734459,0.09913228955417872,0.0024310126995593213,10.712805265035996,0.44102514345196875,tournament_size7_6,0
17,0.09248779112100601,0.0965886489868164,0.0025044393964763745,10.812120991955322,0.44615971316097336,tournament_size7_6,0
18,0.08997273528575897,0.09478034487366675,0.0029930139938817925,11.114354614977065,0.46122050365370915,tournament_size7_6,0
19,0.08997273528575897,0.09314637856781482,0.0030888491040084853,11.114354614977065,0.46122050365370915,tournament_size7_6,0
