generation,best_fitness,avg_fitness,diversity,normalized_fitness,inv_best_fitness,label,run
0,0.17704696118831634,0.1976278180539608,0.009728438517376715,0.0,5.648187040890881,traditional,0
1,0.162472061753273,0.1848121711909771,0.010394832948828517,0.08232222308261317,6.1548664696094155,traditional,0
2,0.15519023072719573,0.17398504308760165,0.007835241250595384,0.12345159902446812,6.443663055664909,traditional,0
3,0.13644956213235854,0.16232522653192283,0.0072953394090372655,0.22930299838796042,7.32866163665921,traditional,0
4,0.13513195139169693,0.15485873704850675,0.009846276269768268,0.23674515233298143,7.4001195837231135,traditional,0
5,0.1314555693268776,0.1441562809869647,0.009207468467516624,0.2575101631535227,7.6070751360734015,traditional,0
6,0.12577414804697037,0.13521090895235538,0.005169155435456527,0.2896000744503575,7.950696266535522,traditional,0
7,0.1197581712603569,0.13069769611507656,0.0043092527126839175,0.32357962849768496,8.35009118279548,traditional,0
8,0.11316271883249283,0.1257578097447753,0.005319787096569895,0.36083218783898197,8.83675448559816,traditional,0
9,0.10873613023757935,0.11895609116107227,0.005294522188625993,0.3858345293940292,9.196490635858273,traditional,0
10,0.10532810920476914,0.11385177197903396,0.004005861224647417,0.4050837783499899,9.494051621151673,traditional,0
11,0.10190330201387406,0.1102594551473856,0.00443623991767586,0.4244278392020272,9.813128398287366,traditional,0
12,0.10190330201387406,0.10717817137241363,0.003387726816524567,0.4244278392020272,9.813128398287366,traditional,0
13,0.09891323214769364,0.10458099193572998,0.003638245602425061,0.4413164084613438,10.109768617592374,traditional,0
14,0.09379630905389785,0.10105116148889064,0.0037272515372061455,0.47021791041004524,10.66128666255638,traditional,0
15,0.0928796192407608,0.09792677362859249,0.0031041245083154295,0.4753955751775417,10.766508752572447,traditional,0
16,0.0908330335021019,0.09597961046397685,0.0034479224634228387,0.48695513951528846,11.009089450782344,traditional,0
17,0.08883935952186585,0.09404009508937597,0.0033492781755371393,0.4982158466567992,11.256145353102436,traditional,0
18,0.08766449683904648,0.09162771542966366,0.002702520381168621,0.5048517283174266,11.406996321893848,traditional,0
19,0.08158743786811828,0.08952355009317399,0.0037214372332072514,0.5391762879152857,12.256638638141675,traditional,0
20,0.07902063307166099,0.08491791004762053,0.0033404757884697577,0.5536741633898447,12.65476251412252,traditional,0
21,0.07543389746546746,0.083112551125139,0.005639683734361839,0.5739328313845949,13.256463965603976,traditional,0
22,0.07538967967033386,0.08025296131670476,0.0035897129944123733,0.5741825831726901,13.264239085955591,traditional,0
23,0.07348640081286431,0.0779535761743784,0.0026343185308439917,0.5849327188694283,13.607774787769406,traditional,0
24,0.07277721533179284,0.0761246581941843,0.0019135982496218133,0.5889383537377791,13.740375405484208,traditional,0
25,0.07088044881820679,0.07528102344125509,0.0034648884646164397,0.5996517062904307,14.108063769474438,traditional,0
26,0.06912577244639397,0.0733151193253696,0.0025461044893234103,0.6095625026126926,14.466175182350286,traditional,0
27,0.06667138215899468,0.07135588986054062,0.0019605172789754024,0.6234254363277123,14.998714124467373,traditional,0
28,0.06608064344525337,0.0695411693058908,0.0022172038315947202,0.6267620579210813,15.132795552042673,traditional,0
29,0.06553196215629578,0.06918555231541394,0.0035329597863672383,0.6298611299710895,15.259496398392692,traditional,0
30,0.06494488033652306,0.06698630994856358,0.0015615599396033334,0.6331770966266723,15.397435446534992,traditional,0
31,0.06436947336792946,0.06717065497040749,0.0028781349344336603,0.6364271211666674,15.535072956263487,traditional,0
32,0.06367842558026314,0.06649848549440504,0.002137802764564064,0.6403303103715434,15.703659241391476,traditional,0
33,0.061728121787309645,0.06612439321503044,0.003044938016268723,0.6513460531996795,16.19980928038379,traditional,0
34,0.0612892402112484,0.064548991253227,0.0022417455511229254,0.653824952431361,16.3158114008578,traditional,0
35,0.059913944810628894,0.06379089056849481,0.002076701055945416,0.6615929219654817,16.690326648228844,traditional,0
36,0.05913354894518852,0.0625043842189014,0.0018612469974927937,0.6660007686757696,16.910588105219073,traditional,0
37,0.058390747189521794,0.06219132598564029,0.003184141158006642,0.6701962756230853,17.12570779487562,traditional,0
38,0.058390747189521794,0.061788402554392816,0.003414034678684299,0.6701962756230853,17.12570779487562,traditional,0
39,0.05715941354632378,0.05997883932814002,0.0027559036457600284,0.6771511176318579,17.494625002836674,traditional,0
40,0.05610497379302978,0.05947313383445143,0.002138614915267223,0.6831068242207579,17.82341402163192,traditional,0
41,0.05599396428465843,0.05861405815407633,0.0018924200228646773,0.6837338302288039,17.85874877812863,traditional,0
42,0.055733803719282146,0.05790312533229589,0.0017531768936994935,0.6852032740624067,17.942110373917718,traditional,0
43,0.05505086064338684,0.05769778493195772,0.0026561161673715815,0.6890606860807292,18.164690317694575,traditional,0
44,0.05486277258396149,0.057504232114553445,0.0027005438795701118,0.6901230486209442,18.226963857974532,traditional,0
45,0.05355334573984147,0.0571023658759892,0.003016038533679036,0.6975189781264907,18.67262098313817,traditional,0
46,0.05355334573984147,0.05596388887912036,0.0019958197171349246,0.6975189781264907,18.67262098313817,traditional,0
47,0.05320133814215661,0.05539536069333554,0.002812478241845012,0.6995071941078452,18.79616638892826,traditional,0
48,0.05225310662388802,0.05442980956584216,0.0016169558557841159,0.7048630133317628,19.137251875680313,traditional,0
49,0.05225310662388802,0.05438751723840833,0.0021095344364277673,0.7048630133317628,19.137251875680313,traditional,0
50,0.0518147743344307,0.05366518374308944,0.0016940585933367764,0.7073388100724427,19.299142256290033,traditional,0
51,0.05148063430190086,0.05366669117212296,0.0022262543675385573,0.7092261061338219,19.424402771204893,traditional,0
52,0.05115532234311104,0.053079175657778976,0.001382057048837271,0.7110635393018715,19.547925929719707,traditional,0
53,0.05090251335501671,0.053363842564821254,0.0024022158837068725,0.7124914598174088,19.645009432368518,traditional,0
54,0.05060409854352474,0.052404722453281295,0.0017025462860316713,0.7141769720085758,19.7608547119005,traditional,0
55,0.050402288347482685,0.05213722974471748,0.0012341846375784552,0.7153168401807688,19.839975382279665,traditional,0
56,0.05004954682290554,0.05167319566719235,0.0015055719462520143,0.7173092015418991,19.979801690045708,traditional,0
