generation,best_fitness,avg_fitness,diversity,normalized_fitness,inv_best_fitness,label,run
0,0.16365024316310883,0.1903319468319416,0.012391924910614499,0.0,6.110555475605611,young_bias,0
1,0.1566345661878586,0.17877563599944116,0.008796825257501745,0.04286994531537469,6.384246083681049,young_bias,0
2,0.15083290088176726,0.16813037314414978,0.008211149182273404,0.0783215596481982,6.629809307815094,young_bias,0
3,0.1379489387869835,0.15836660617142914,0.0073165675833319595,0.1570502058497344,7.249006478677442,young_bias,0
4,0.13541001534461974,0.14963922776430846,0.005364915342925403,0.17256453319377163,7.384923578447511,young_bias,0
5,0.13296394056081773,0.14399481322020294,0.006774520292967019,0.18751150019194485,7.520779506102989,young_bias,0
6,0.12968019765615463,0.13628813695609568,0.004785948255634919,0.2075771159905735,7.71121811082796,young_bias,0
7,0.1251675775051117,0.13273839233219623,0.005018785346049479,0.2351519002611061,7.989225570284694,young_bias,0
8,0.11857365447282792,0.12919688920378686,0.005090231040534765,0.2754446789630093,8.433505494457552,young_bias,0
9,0.11436647015810013,0.1242217181250453,0.005708138228708129,0.30115306920679596,8.743745040592511,young_bias,0
10,0.10756966632604599,0.11939282586574555,0.0055499027305662705,0.34268556986602094,9.29621461085875,young_bias,0
11,0.10651026850938797,0.11443710704743862,0.005328399583795722,0.34915911855242354,9.388677968020438,young_bias,0
12,0.10073348724842071,0.11026188310086729,0.003672274218222053,0.3844586766179108,9.927086813217265,young_bias,0
13,0.10073348724842071,0.10840339218378067,0.005513066399101028,0.3844586766179108,9.927086813217265,young_bias,0
14,0.09857590699195862,0.10455375041067601,0.003219913123516216,0.39764277103023404,10.144363730965658,young_bias,0
15,0.0970819827914238,0.10185911198556426,0.004057119496933647,0.40677153351576145,10.300466376774105,young_bias,0
16,0.09501393842697144,0.09963897300958634,0.0029046145175623582,0.4194085105497104,10.524660822346382,young_bias,0
17,0.09140915185213089,0.09732384312599898,0.003275871652492926,0.4414358934925373,10.939703957801584,young_bias,0
18,0.08712959986925126,0.09506902585923672,0.00355381745590051,0.46758649308935085,11.477024162585893,young_bias,0
19,0.08691984784603118,0.09201108929663897,0.00357204645474656,0.4688682022953128,11.504719808662797,young_bias,0
20,0.080768540173769,0.0890372751839459,0.0036054295287252245,0.5064563387585824,12.38090495313682,young_bias,0
21,0.08040539720654488,0.08742792800813913,0.004730867587921859,0.5086753575648189,12.436821381652484,young_bias,0
22,0.07982793185114861,0.0839730050355196,0.002823748804951316,0.5122040132162542,12.526786677599915,young_bias,0
23,0.07875189879536629,0.08166738303527236,0.0022763534597768473,0.518779213075321,12.697945285778339,young_bias,0
24,0.07744034051895142,0.0808011960171163,0.002391458800355721,0.5267936116552709,12.912999611044702,young_bias,0
25,0.07693994358181953,0.07966831661984325,0.0022903993082496257,0.529851333583818,12.996981235830479,young_bias,0
26,0.07495253646373749,0.07872060776874423,0.002158113497944813,0.5419955692394973,13.341598638028238,young_bias,0
27,0.07455357202887536,0.07853072385191917,0.0029611998407610505,0.5444334784484957,13.412993633880628,young_bias,0
28,0.07234752225875854,0.07722376570999623,0.003396972618072742,0.5579137503226905,13.82198238166419,young_bias,0
29,0.07178544744849205,0.07553002942204476,0.0037061327138264138,0.5613483606196412,13.930205986548037,young_bias,0
30,0.06895801886916161,0.07354485456198454,0.0018689254905402799,0.5786256253806373,14.501366411510805,young_bias,0
31,0.06895801886916161,0.07298790508806705,0.0026753055896105624,0.5786256253806373,14.501366411510805,young_bias,0
32,0.06727063301205635,0.07175264708399773,0.002315672382874318,0.5889365532747283,14.865106661239828,young_bias,0
33,0.0653027653992176,0.07179688934534789,0.005316552853197274,0.6009613909700648,15.313052683666244,young_bias,0
