generation,best_fitness,avg_fitness,diversity,inv_best_fitness,normalized_fitness,label,run
0,0.16970809161663056,0.19457239269614218,0.009842801808383872,5.8924362299869,0.0,delta_delta20_9,0
1,0.1577389169931412,0.18268941687345505,0.008795037263237986,6.339549424534576,0.07052801377631224,delta_delta20_9,0
2,0.14612200462818145,0.17192208403646947,0.008412710599725051,6.843549395555878,0.13898033242710617,delta_delta20_9,0
3,0.14265165084600448,0.16026311285048722,0.008833730369154788,7.010034472331776,0.15942929127826388,delta_delta20_9,0
4,0.13716026121377944,0.14783810579627754,0.005310998015056072,7.290688282906649,0.19178714516675166,delta_delta20_9,0
5,0.13490812635421753,0.14274365913271905,0.004535976898615963,7.412396974348488,0.2050577844044461,delta_delta20_9,0
6,0.1312420973777771,0.13994438357800246,0.006723644617114549,7.619448336559347,0.2266597536536319,delta_delta20_9,0
7,0.1197648679614067,0.13488142358362676,0.0057607645892615725,8.349624287966915,0.2942889945875137,delta_delta20_9,0
8,0.11415050888061523,0.13035789585858581,0.008946972906962818,8.760287181537345,0.3273714423795392,delta_delta20_9,0
9,0.10861746883392334,0.11970367729812861,0.004931689480031959,9.206537440046139,0.3599747201253699,delta_delta20_9,0
10,0.1048440718650818,0.11363342863470316,0.005390174292031649,9.537882727447924,0.38220935215084584,delta_delta20_9,0
11,0.09691551905870438,0.10847548547536134,0.006048170951436471,10.318158449276112,0.42892811924586427,delta_delta20_9,0
12,0.09296017211675645,0.10407089250236749,0.004740262741722376,10.75717933874618,0.45223488620240426,delta_delta20_9,0
13,0.08668340545892715,0.09919926972687246,0.00720507877439586,11.536100348220309,0.489220551399845,delta_delta20_9,0
14,0.08617886692285538,0.09445875903218985,0.005548875505525807,11.603638247610178,0.49219353006730604,delta_delta20_9,0
15,0.0836992968916893,0.09022114160805941,0.004383463518917702,11.94738892376965,0.5068043244469129,delta_delta20_9,0
16,0.07126168474555016,0.08784211942330003,0.005038599508447453,14.032589476113484,0.5800925927177956,delta_delta20_9,0
17,0.07052907860279084,0.08393401440680026,0.0058354965625446505,14.178348015628476,0.5844094531325261,delta_delta20_9,0
18,0.06970653629302978,0.07760206811651586,0.008006538256277807,14.345651176026319,0.5892562597987585,delta_delta20_9,0
19,0.06689614418148995,0.0727023017153144,0.0037880931052651176,14.948321221112666,0.605816413676916,delta_delta20_9,0
20,0.06633830964565277,0.07060876630470156,0.0030154434670252132,15.074018788278577,0.609103437474799,delta_delta20_9,0
21,0.06282109227776528,0.0682402801282704,0.003009985110587091,15.91796713134834,0.6298285386434154,delta_delta20_9,0
22,0.06197556507587433,0.06714750893265009,0.004129254986751785,16.1351310576144,0.634810783118835,delta_delta20_9,0
23,0.06197556507587433,0.06545782170891762,0.0030467088657427886,16.1351310576144,0.634810783118835,delta_delta20_9,0
24,0.06017475160956383,0.06467065837606788,0.002885747418209206,16.617989360370007,0.6454220241572324,delta_delta20_9,0
25,0.05984263110160828,0.06330600720718503,0.003675957851237863,16.71021596771265,0.6473790346025905,delta_delta20_9,0
26,0.056638185679912564,0.06247059441283346,0.0028517462914945256,17.655621068624512,0.6662611361639854,delta_delta20_9,0
27,0.056265827745199205,0.06117852742150427,0.0046616067880100075,17.772460969870867,0.6684552444776568,delta_delta20_9,0
28,0.055839354068040845,0.05947502820268273,0.0032432113576363556,17.90819590401435,0.6709682282316769,delta_delta20_9,0
29,0.054950602144002915,0.058359186159074296,0.003507163822200286,18.19783156420916,0.6762051731267125,delta_delta20_9,0
30,0.05483188626170159,0.05740614143460989,0.0029419478055619985,18.237230760155278,0.6769047030145949,delta_delta20_9,0
31,0.053753981351852415,0.05758538859561087,0.0032470635595284493,18.60292711208502,0.6832562263838173,delta_delta20_9,0
32,0.05309591187536716,0.05742517347894609,0.0032349152727750657,18.833487008571627,0.6871338816577439,delta_delta20_9,0
33,0.052895317569375044,0.05642244093120099,0.0033358812664002323,18.90490767506587,0.6883158777787377,delta_delta20_9,0
34,0.05242374856770039,0.055902430039644235,0.0038378200978475088,19.074960344513958,0.6910945844224959,delta_delta20_9,0
35,0.051993993684649464,0.05481277241446079,0.0036411750046318058,19.23262085701976,0.6936269025869224,delta_delta20_9,0
36,0.051345951691269875,0.05404776124246419,0.0024542498050988595,19.475352811840285,0.6974454712079372,delta_delta20_9,0
37,0.050061363950371744,0.053899983114749195,0.0032788905078653015,19.975085495190132,0.7050148671551854,delta_delta20_9,0
38,0.050061363950371744,0.05302822686880828,0.002614781708573654,19.975085495190132,0.7050148671551854,delta_delta20_9,0
39,0.049626945689320565,0.05225255607999861,0.0019005176708426098,20.14993742155219,0.7075746641390117,delta_delta20_9,0
40,0.049461555257439616,0.05241286309100688,0.005392014186570618,20.217313779995038,0.708549222454443,delta_delta20_9,0
41,0.04819820933043957,0.051830126228556025,0.004126076669008744,20.74722830294362,0.7159934516303501,delta_delta20_9,0
42,0.04675179170072079,0.05028041169196368,0.002318113795513255,21.389097070423347,0.7245164254964768,delta_delta20_9,0
43,0.04675179170072079,0.05022143613174558,0.00329497721905775,21.389097070423347,0.7245164254964768,delta_delta20_9,0
44,0.04675179170072079,0.04901134995743632,0.0035355121835124303,21.389097070423347,0.7245164254964768,delta_delta20_9,0
45,0.04624313820898533,0.04897297769375145,0.004209305451223688,21.624362324167993,0.7275136514206508,delta_delta20_9,0
46,0.04599570415914059,0.048607166176289324,0.0031729751187063943,21.740688127135677,0.7289716493716483,delta_delta20_9,0
47,0.04563456831872463,0.04992888422980905,0.005302806243816366,21.912732476910826,0.7310996318206628,delta_delta20_9,0
48,0.044904275178909304,0.0476700212944299,0.0018176147839595853,22.269098586209548,0.7354028629327365,delta_delta20_9,0
49,0.044904275178909304,0.04773963015228509,0.0024921705261480775,22.269098586209548,0.7354028629327365,delta_delta20_9,0
50,0.044904275178909304,0.047030057869479065,0.0015920768284202731,22.269098586209548,0.7354028629327365,delta_delta20_9,0
51,0.044904275178909304,0.04697944520376622,0.001844561702025363,22.269098586209548,0.7354028629327365,delta_delta20_9,0
52,0.04430235324800015,0.04811745371371508,0.0031460074759883964,22.571654890369725,0.7389496704253862,delta_delta20_9,0
53,0.04428440959751606,0.047399718762189146,0.0027171124843189095,22.58080051846442,0.7390554028646186,delta_delta20_9,0
54,0.04414694775640965,0.04656940071992576,0.00207506461157351,22.65110952648562,0.7398653927702086,delta_delta20_9,0
55,0.043998147591948505,0.04710738384202123,0.004916951183618274,22.727713029217686,0.7407421934167993,delta_delta20_9,0
56,0.04339900517463684,0.046247535433620215,0.002641268257360819,23.041471907114072,0.744272622706318,delta_delta20_9,0
57,0.04318322968482971,0.04718465841636062,0.004791451316700149,23.156601548719816,0.7455440735119434,delta_delta20_9,0
58,0.04318322968482971,0.04607274325527251,0.0041457633132841835,23.156601548719816,0.7455440735119434,delta_delta20_9,0
59,0.04318322968482971,0.04568662623204291,0.0036839479229997096,23.156601548719816,0.7455440735119434,delta_delta20_9,0
60,0.042755947068333626,0.045064491759613155,0.0021745346617178434,23.38801220774281,0.7480618239175123,delta_delta20_9,0
61,0.04223428286612034,0.04617944966033101,0.005368917005704904,23.676886530388668,0.7511357150752287,delta_delta20_9,0
62,0.04223428286612034,0.044605604903399945,0.004266005173195041,23.676886530388668,0.7511357150752287,delta_delta20_9,0
63,0.042228234037756926,0.044837621539458625,0.002822559367438653,23.680277958769167,0.7511713576206477,delta_delta20_9,0
64,0.041487843766808516,0.044892128029465676,0.004297525977229048,24.10286499234789,0.7555340857846113,delta_delta20_9,0
65,0.041487843766808516,0.04428903155103327,0.0028908286117711062,24.10286499234789,0.7555340857846113,delta_delta20_9,0
66,0.041365671202540394,0.044809269287437205,0.003709509731530852,24.17405053222142,0.75625398407057,delta_delta20_9,0
67,0.041164731040596966,0.04385303748175502,0.005137414844969793,24.292050079562937,0.7574380181377102,delta_delta20_9,0
68,0.04103520894050598,0.0447847099736333,0.0063291752786662865,24.36872278942222,0.7582012233500083,delta_delta20_9,0
69,0.040879958018660546,0.04332141386382282,0.0029140970929620743,24.461266283034252,0.7591160348970979,delta_delta20_9,0
70,0.040879958018660546,0.04305949527695775,0.0029866209334033296,24.461266283034252,0.7591160348970979,delta_delta20_9,0
71,0.0403778185993433,0.04260794500857591,0.003167980071474141,24.765459582224217,0.7620748768387748,delta_delta20_9,0
72,0.0403778185993433,0.043484229407459496,0.0038327748426654233,24.765459582224217,0.7620748768387748,delta_delta20_9,0
73,0.039003178104758264,0.04345994034446776,0.00520389447645582,25.638278989347715,0.7701749060211802,delta_delta20_9,0
74,0.039003178104758264,0.04230884265862405,0.002908940379879501,25.638278989347715,0.7701749060211802,delta_delta20_9,0
75,0.039003178104758264,0.0427318251889199,0.003340387797002713,25.638278989347715,0.7701749060211802,delta_delta20_9,0
76,0.039003178104758264,0.042310881509259345,0.003896214430333046,25.638278989347715,0.7701749060211802,delta_delta20_9,0
77,0.039003178104758264,0.04176157400496304,0.003534013808594312,25.638278989347715,0.7701749060211802,delta_delta20_9,0
78,0.039003178104758264,0.04170398641005159,0.0033339994157827444,25.638278989347715,0.7701749060211802,delta_delta20_9,0
79,0.039003178104758264,0.04206715054661035,0.00310602863535386,25.638278989347715,0.7701749060211802,delta_delta20_9,0
80,0.039003178104758264,0.04071982300616801,0.0020262679788969206,25.638278989347715,0.7701749060211802,delta_delta20_9,0
81,0.03845928829908371,0.04089041040316224,0.0022363022629217732,26.000845137289943,0.7733797609016606,delta_delta20_9,0
82,0.03845928829908371,0.04136322244033218,0.003582910713634712,26.000845137289943,0.7733797609016606,delta_delta20_9,0
0,0.1685812132358551,0.18762007979750633,0.0116180594030351,5.93182389058417,0.0,delta_delta20_9,1
1,0.1534017231464386,0.17326554681658743,0.008591757347261156,6.5187891028857265,0.09004259607610898,delta_delta20_9,1
2,0.15150369346141815,0.16485992856025694,0.007671242781722127,6.600455584266489,0.10130144069223468,delta_delta20_9,1
3,0.12865440154075622,0.1540211817890406,0.006427270935887681,7.772701247084554,0.23684022038232044,delta_delta20_9,1
4,0.12244943690299988,0.1465522894382477,0.009556464095141985,8.166569473264992,0.2736471961932919,delta_delta20_9,1
5,0.12244943690299988,0.13673730166852474,0.008174013695850984,8.166569473264992,0.2736471961932919,delta_delta20_9,1
6,0.11161577302217483,0.12874225979000328,0.006895579740751717,8.959226941647298,0.3379109636254797,delta_delta20_9,1
7,0.10531589490175247,0.11880899964421987,0.008378889645313584,9.495152709666149,0.3752809528401643,delta_delta20_9,1
8,0.0981298766732216,0.1109930735439062,0.007471709029641187,10.190472498579895,0.4179074002989165,delta_delta20_9,1
9,0.09177924889326096,0.10383689805716276,0.005894283604410527,10.895590413608323,0.4555784293422046,delta_delta20_9,1
10,0.0913613519668579,0.09815872569531203,0.004475780266435227,10.945427503472704,0.4580573350184758,delta_delta20_9,1
11,0.08286111453175544,0.09340846174433827,0.004171592087768391,12.068241386921976,0.5084795456073279,delta_delta20_9,1
12,0.08286111453175544,0.09029986941963435,0.0038611336454009125,12.068241386921976,0.5084795456073279,delta_delta20_9,1
13,0.08048822641372681,0.0874287928007543,0.004345838932782879,12.42402299731207,0.5225551835297387,delta_delta20_9,1
14,0.07432384720444679,0.08399819661229849,0.0036321587493875446,13.454450800945217,0.5591214122983957,delta_delta20_9,1
15,0.07423934343457222,0.08204997728616,0.004800883939333002,13.469765275012456,0.5596226767527945,delta_delta20_9,1
16,0.07302054393291474,0.07864054140076042,0.0038996210778083178,13.694588557572887,0.5668524236401438,delta_delta20_9,1
17,0.07000449013710022,0.07517194914370776,0.003398310522129451,14.284593937440892,0.5847432297265545,delta_delta20_9,1
18,0.0685712552368641,0.07376777371391655,0.0035677440175146294,14.583157525529437,0.5932449771794628,delta_delta20_9,1
19,0.06487728929519654,0.07070295873209834,0.0033068242474000643,15.413476694029262,0.6151570625818823,delta_delta20_9,1
20,0.06260581266880036,0.06824727002009749,0.00312061443932164,15.972702608103583,0.6286311418271078,delta_delta20_9,1
21,0.06240650361776352,0.06718388966172935,0.004306229774523672,16.02371416945065,0.6298134150306942,delta_delta20_9,1
22,0.059843994021415714,0.06495517280995847,0.0031865565888969066,16.70983540648608,0.6450138608405289,delta_delta20_9,1
23,0.05962194082140923,0.06321004497110845,0.0025282917380070485,16.772067701177914,0.6463310491306371,delta_delta20_9,1
24,0.057910380274057385,0.0630737421259284,0.004190784828545626,17.267763180011286,0.6564837850998418,delta_delta20_9,1
25,0.057248535126447675,0.06148823348432779,0.004053269073708617,17.46739074459363,0.6604097572464758,delta_delta20_9,1
26,0.056830334663391116,0.05992815871909261,0.002979198627750734,17.59592671759242,0.6628904634594004,delta_delta20_9,1
27,0.05551465001702309,0.05935815508812666,0.0030129083180289707,18.012938688340387,0.670694919371859,delta_delta20_9,1
